Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Unique coverage (compared to other set),Status
0012-9658,Ecology,9.54925E+11,1.11007E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,-1997,,ACTIVE
0013-0001,Economic Botany,9.54925E+11,3.71E+15,EBSCOhost Environment Complete,getFullTxt,1997-2020,,ACTIVE
0013-0001,Economic Botany,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1947-2015,,ACTIVE
0013-0001,Economic Botany,9.54925E+11,3.85E+15,SpringerLink Journals - AutoHoldings,getFullTxt,-1997,,ACTIVE
0013-8746,Annals of the Entomological Society of America,9.54925E+11,4.33E+15,CRKN Oxford University Press Current,getFullTxt,-1996,,ACTIVE
0013-8746,Annals of the Entomological Society of America,9.54925E+11,4.34E+15,Oxford Journals Archive Collection,getFullTxt,1908-1995,,ACTIVE
0013-9157,Environment,9.54925E+11,2.55E+15,ABI/INFORM Collection,getFullTxt,1988-2010,,ACTIVE
0013-9157,Environment,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1975-2020,,ACTIVE
0013-9157,Environment,9.54925E+11,1E+15,EBSCOhost Computers and Applied Sciences Complete,getFullTxt,1975-2020,,ACTIVE
0013-9157,Environment,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,1975-2020,,ACTIVE
0013-9157,Environment,9.54925E+11,1.10976E+14,EBSCOhost MasterFILE Premier,getFullTxt,1975-2020,,ACTIVE
0013-9157,Environment,9.54925E+11,1E+15,MacEwan EBSCO Electronic Journals Service,getFullTxt,2003-2013,,ACTIVE
0013-9165,Environment and Behavior,9.54925E+11,2.56E+15,SAGE Complete Deep Backfile Purchase 2015,getFullTxt,1969-1998,,ACTIVE
0013-9165,Environment and Behavior,9.54925E+11,1E+15,SAGE Psychology FTC,getFullTxt,-1969,,ACTIVE
0013-9165,Environment and Behavior,9.54925E+11,2.56E+15,Sage CRKN Collection,getFullTxt,-1999,,ACTIVE
0013-936X,Environmental Science & Technology,9.54921E+11,1.10978E+14,American Chemical Society Journals,getFullTxt,-1996,,ACTIVE
0013-936X,Environmental Science & Technology,9.54921E+11,1E+15,American Chemical Society Legacy Archive,getFullTxt,-1967,,ACTIVE
